timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-01-01 00:00:00,42283.58,42298.62,42261.02,42298.61,35.92724,2024-01-01 00:00:59.999,1519031.6945192,1327,23.18766,980394.7103456,0
2024-01-01 00:01:00,42298.62,42320.0,42298.61,42320.0,21.16779,2024-01-01 00:01:59.999,895580.8610456,1348,13.47483,570080.7942181,0
2024-01-01 00:02:00,42319.99,42331.54,42319.99,42325.5,21.60391,2024-01-01 00:02:59.999,914371.1381861,1019,11.21801,474798.5874114,0
2024-01-01 00:03:00,42325.5,42368.0,42325.49,42367.99,30.5073,2024-01-01 00:03:59.999,1291996.9465156,1241,24.04878,1018449.0849394,0
2024-01-01 00:04:00,42368.0,42397.23,42367.99,42397.23,46.05107,2024-01-01 00:04:59.999,1951945.1923031,1415,34.12804,1446539.2938964,0
2024-01-01 00:05:00,42397.22,42409.2,42385.26,42409.2,32.26766,2024-01-01 00:05:59.999,1368040.0098892,1255,20.99093,889944.4943977,0
2024-01-01 00:06:00,42409.19,42431.09,42405.89,42423.95,28.13597,2024-01-01 00:06:59.999,1193371.997526,1410,15.57884,660747.7152969,0
2024-01-01 00:07:00,42423.94,42432.74,42414.45,42414.45,26.49738,2024-01-01 00:07:59.999,1124162.9071016,993,6.62244,280969.2218798,0
2024-01-01 00:08:00,42414.45,42420.07,42406.0,42420.07,28.00823,2024-01-01 00:08:59.999,1187955.6177451,686,18.05296,765729.3472704,0
2024-01-01 00:09:00,42420.06,42420.07,42403.99,42409.96,26.40178,2024-01-01 00:09:59.999,1119844.1705059,790,8.20639,348060.8325401,0
2024-01-01 00:10:00,42409.97,42440.06,42409.96,42440.05,22.61788,2024-01-01 00:10:59.999,959681.107105,736,19.13842,812061.7441319,0
2024-01-01 00:11:00,42440.06,42480.68,42440.05,42479.32,31.81488,2024-01-01 00:11:59.999,1350940.1818971,1688,21.44103,910359.5040936,0
2024-01-01 00:12:00,42479.31,42479.32,42462.22,42462.24,25.25342,2024-01-01 00:12:59.999,1072439.1646301,901,5.84846,248349.629232,0
2024-01-01 00:13:00,42462.24,42480.16,42460.0,42480.15,21.40862,2024-01-01 00:13:59.999,909149.5462351,762,13.69327,581524.5721504,0
2024-01-01 00:14:00,42480.16,42488.09,42465.78,42488.0,34.04769,2024-01-01 00:14:59.999,1446175.967324,1080,13.13848,558042.2954208,0
2024-01-01 00:15:00,42488.0,42516.46,42482.47,42510.0,33.40445,2024-01-01 00:15:59.999,1419584.3462806,1709,22.96846,976041.4710791,0
2024-01-01 00:16:00,42510.01,42554.57,42510.0,42541.27,61.90631,2024-01-01 00:16:59.999,2633518.772339,2049,38.7433,1648048.7745568,0
2024-01-01 00:17:00,42541.27,42541.27,42503.36,42503.36,27.71049,2024-01-01 00:17:59.999,1178139.0765696,833,5.71349,242887.4452957,0
2024-01-01 00:18:00,42503.36,42503.37,42467.28,42474.03,25.78878,2024-01-01 00:18:59.999,1095530.1465375,953,10.09214,428673.1807656,0
2024-01-01 00:19:00,42474.03,42476.5,42458.58,42458.85,14.51538,2024-01-01 00:19:59.999,616457.634456,609,5.29852,225037.6635475,0
2024-01-01 00:20:00,42458.85,42465.48,42458.28,42459.31,19.02752,2024-01-01 00:20:59.999,807945.6392938,505,10.04046,426347.0602764,0
2024-01-01 00:21:00,42459.31,42459.31,42445.84,42446.0,40.51182,2024-01-01 00:21:59.999,1719881.6227525,777,10.77528,457436.616684,0
2024-01-01 00:22:00,42446.01,42461.1,42446.0,42461.09,32.82982,2024-01-01 00:22:59.999,1393630.3556122,672,15.60496,662454.8862747,0
2024-01-01 00:23:00,42461.1,42473.15,42461.09,42468.18,12.69272,2024-01-01 00:23:59.999,539051.9658418,498,6.54559,277983.886499,0
2024-01-01 00:24:00,42468.17,42491.1,42468.17,42473.93,12.20924,2024-01-01 00:24:59.999,518626.4670329,642,6.09649,258960.7305689,0
2024-01-01 00:25:00,42473.93,42500.0,42462.03,42499.99,23.92025,2024-01-01 00:25:59.999,1015908.8393173,727,16.88711,717190.9083075,0
2024-01-01 00:26:00,42500.0,42500.0,42463.62,42463.63,20.32232,2024-01-01 00:26:59.999,863254.4731701,775,6.55732,278511.4870819,0
2024-01-01 00:27:00,42463.63,42470.01,42426.0,42436.0,32.69329,2024-01-01 00:27:59.999,1387635.9808932,1330,10.54423,447496.1682646,0
2024-01-01 00:28:00,42436.01,42436.01,42415.74,42420.41,8.77715,2024-01-01 00:28:59.999,372366.4580128,588,3.32816,141193.5674338,0
2024-01-01 00:29:00,42420.41,42420.45,42412.02,42419.73,25.93935,2024-01-01 00:29:59.999,1100332.2772916,665,6.32515,268301.9453059,0
2024-01-01 00:30:00,42419.73,42419.73,42391.34,42391.51,18.10354,2024-01-01 00:30:59.999,767713.7008151,1138,4.27019,181073.1429707,0
2024-01-01 00:31:00,42391.51,42391.51,42377.64,42381.99,12.99361,2024-01-01 00:31:59.999,550679.0781806,804,4.82118,204326.9390094,0
2024-01-01 00:32:00,42382.0,42399.99,42373.11,42373.11,13.11311,2024-01-01 00:32:59.999,555887.2803113,978,5.6753,240588.6246783,0
2024-01-01 00:33:00,42373.12,42376.0,42367.44,42373.82,23.24238,2024-01-01 00:33:59.999,984805.3120628,828,9.79357,414956.1240499,0
2024-01-01 00:34:00,42373.81,42373.82,42354.19,42362.93,10.40672,2024-01-01 00:34:59.999,440852.4163776,804,4.89994,207553.5472567,0
2024-01-01 00:35:00,42362.93,42362.94,42355.36,42359.68,12.28515,2024-01-01 00:35:59.999,520371.6862495,552,7.15842,303209.2215538,0
2024-01-01 00:36:00,42359.69,42379.8,42357.57,42379.8,45.75418,2024-01-01 00:36:59.999,1938514.2367608,816,32.64517,1383074.6065372,0
2024-01-01 00:37:00,42379.8,42424.21,42379.79,42416.27,60.49779,2024-01-01 00:37:59.999,2565038.9550238,899,55.68424,2360941.2805121,0
2024-01-01 00:38:00,42416.26,42419.73,42408.41,42408.42,13.82183,2024-01-01 00:38:59.999,586253.7495111,539,3.5864,152120.6437195,0
2024-01-01 00:39:00,42408.42,42447.82,42408.41,42447.82,16.82967,2024-01-01 00:39:59.999,714054.7492158,736,15.60829,662226.8840706,0
2024-01-01 00:40:00,42447.82,42447.82,42439.08,42445.03,17.29636,2024-01-01 00:40:59.999,734093.9187282,528,4.16824,176907.9557602,0
2024-01-01 00:41:00,42445.04,42445.04,42422.64,42423.8,14.3659,2024-01-01 00:41:59.999,609602.0154562,493,7.26007,308058.9637265,0
2024-01-01 00:42:00,42423.8,42424.68,42419.34,42424.68,8.01692,2024-01-01 00:42:59.999,340104.2673485,374,2.25323,95587.6960624,0
2024-01-01 00:43:00,42424.67,42431.86,42419.34,42419.35,12.37079,2024-01-01 00:43:59.999,524836.7151903,598,4.22145,179097.2961539,0
2024-01-01 00:44:00,42419.34,42443.9,42396.5,42441.32,40.80849,2024-01-01 00:44:59.999,1731282.7124348,872,29.95458,1270920.8893541,0
2024-01-01 00:45:00,42441.32,42462.01,42441.31,42462.01,20.20222,2024-01-01 00:45:59.999,857649.7362935,664,16.48027,699643.9054862,0
2024-01-01 00:46:00,42462.0,42465.52,42462.0,42465.52,11.60893,2024-01-01 00:46:59.999,492963.3701447,421,8.95978,380466.9054345,0
2024-01-01 00:47:00,42465.51,42465.52,42446.0,42446.01,17.62068,2024-01-01 00:47:59.999,748139.0442453,519,2.92052,123966.2719861,0
2024-01-01 00:48:00,42446.0,42446.01,42433.1,42433.1,5.09397,2024-01-01 00:48:59.999,216200.8408404,388,1.17191,49737.6058389,0
2024-01-01 00:49:00,42433.11,42433.11,42422.45,42422.46,5.22237,2024-01-01 00:49:59.999,221564.2649072,350,1.08097,45858.1339844,0
2024-01-01 00:50:00,42422.45,42439.45,42422.45,42439.45,9.00815,2024-01-01 00:50:59.999,382205.6627715,472,6.83805,290120.0459152,0
2024-01-01 00:51:00,42439.45,42441.35,42436.48,42441.35,8.63682,2024-01-01 00:51:59.999,366539.3606944,408,5.07018,215172.7022832,0
2024-01-01 00:52:00,42441.35,42441.35,42441.34,42441.34,4.23696,2024-01-01 00:52:59.999,179822.2896285,248,2.97021,126059.7221835,0
2024-01-01 00:53:00,42441.34,42441.35,42441.34,42441.35,3.9571,2024-01-01 00:53:59.999,167944.6361956,326,0.96816,41090.017416,0
2024-01-01 00:54:00,42441.34,42459.56,42441.34,42459.55,7.29497,2024-01-01 00:54:59.999,309667.1063246,383,4.75695,201927.869272,0
2024-01-01 00:55:00,42459.56,42465.08,42455.99,42465.07,6.3753,2024-01-01 00:55:59.999,270685.3810866,405,2.18586,92808.3334859,0
2024-01-01 00:56:00,42465.08,42480.16,42465.07,42480.15,4.58327,2024-01-01 00:56:59.999,194667.9638509,387,3.65951,155429.0114983,0
2024-01-01 00:57:00,42480.16,42490.74,42480.15,42490.73,6.03284,2024-01-01 00:57:59.999,256295.5501699,407,4.07451,173102.1287905,0
2024-01-01 00:58:00,42490.73,42490.74,42478.41,42490.25,11.52049,2024-01-01 00:58:59.999,489466.8496786,450,4.45566,189297.1124393,0
2024-01-01 00:59:00,42490.25,42490.26,42475.22,42475.23,6.42086,2024-01-01 00:59:59.999,272795.5653613,364,0.6938,29475.6190498,0
2024-01-01 01:00:00,42475.23,42475.23,42455.46,42455.46,12.61588,2024-01-01 01:00:59.999,535689.057278,650,5.63703,239346.6912489,0
2024-01-01 01:01:00,42455.47,42455.47,42444.42,42444.43,5.70722,2024-01-01 01:01:59.999,242269.2158536,397,1.26696,53776.2680313,0
2024-01-01 01:02:00,42444.42,42461.31,42438.19,42461.29,45.55986,2024-01-01 01:02:59.999,1934072.0641842,727,41.59484,1765778.7164237,0
2024-01-01 01:03:00,42461.29,42465.3,42439.35,42441.2,15.987,2024-01-01 01:03:59.999,678700.207462,699,7.74805,328896.4672476,0
2024-01-01 01:04:00,42441.2,42441.2,42435.52,42435.53,6.59804,2024-01-01 01:04:59.999,280023.8127179,400,1.47833,62741.4909202,0
2024-01-01 01:05:00,42435.52,42441.12,42431.65,42441.11,8.05643,2024-01-01 01:05:59.999,341896.7989634,420,5.49313,233111.0565923,0
2024-01-01 01:06:00,42441.12,42459.22,42437.02,42459.21,16.91346,2024-01-01 01:06:59.999,717926.1872473,578,13.48562,572422.391938,0
2024-01-01 01:07:00,42459.22,42459.22,42445.92,42449.0,16.10281,2024-01-01 01:07:59.999,683611.3044991,518,8.4804,359998.6872082,0
2024-01-01 01:08:00,42449.0,42449.0,42448.95,42448.95,7.75119,2024-01-01 01:08:59.999,329030.0139317,285,3.00948,127749.3398912,0
2024-01-01 01:09:00,42448.96,42448.96,42436.79,42436.8,9.87553,2024-01-01 01:09:59.999,419157.0737591,431,3.58051,151965.8334758,0
2024-01-01 01:10:00,42436.8,42455.47,42436.8,42448.71,13.46823,2024-01-01 01:10:59.999,571678.2398293,597,7.20627,305879.803865,0
2024-01-01 01:11:00,42446.44,42448.3,42446.01,42446.02,2.75677,2024-01-01 01:11:59.999,117013.9409793,257,1.3243,56211.2981011,0
2024-01-01 01:12:00,42446.01,42452.34,42442.73,42452.34,11.6603,2024-01-01 01:12:59.999,494932.7961448,439,4.66053,197823.4120767,0
2024-01-01 01:13:00,42452.34,42471.1,42452.33,42471.09,10.25242,2024-01-01 01:13:59.999,435308.8438538,474,8.34852,354467.037281,0
2024-01-01 01:14:00,42471.1,42471.1,42466.32,42466.33,5.45585,2024-01-01 01:14:59.999,231698.6779181,384,1.86028,79002.643679,0
2024-01-01 01:15:00,42466.32,42476.73,42466.32,42476.73,4.96801,2024-01-01 01:15:59.999,210986.5174168,378,3.97648,168874.5755896,0
2024-01-01 01:16:00,42476.73,42495.71,42476.73,42495.7,8.55967,2024-01-01 01:16:59.999,363642.54444,393,7.99698,339736.3920823,0
2024-01-01 01:17:00,42495.7,42495.71,42493.58,42493.59,5.56665,2024-01-01 01:17:59.999,236555.5084734,259,1.25009,53122.4066295,0
2024-01-01 01:18:00,42493.58,42493.59,42487.44,42487.44,5.53092,2024-01-01 01:18:59.999,235026.9820062,353,1.48788,63225.0436416,0
2024-01-01 01:19:00,42487.45,42493.62,42478.07,42493.61,12.52454,2024-01-01 01:19:59.999,532083.2195015,487,10.30488,437782.0947548,0
2024-01-01 01:20:00,42493.61,42500.0,42493.61,42499.99,4.46182,2024-01-01 01:20:59.999,189617.9088093,372,2.98111,126689.6287624,0
2024-01-01 01:21:00,42500.0,42513.17,42499.99,42502.74,23.97695,2024-01-01 01:21:59.999,1019256.5584421,646,5.21984,221860.6048799,0
2024-01-01 01:22:00,42502.73,42502.74,42499.96,42499.96,6.56761,2024-01-01 01:22:59.999,279134.1323712,372,0.3715,15789.2375611,0
2024-01-01 01:23:00,42499.96,42499.97,42487.56,42487.57,7.564,2024-01-01 01:23:59.999,321421.4257386,414,4.45523,189316.2664193,0
2024-01-01 01:24:00,42487.56,42487.57,42478.07,42478.07,9.17034,2024-01-01 01:24:59.999,389555.8480854,356,7.79212,331003.853303,0
2024-01-01 01:25:00,42478.07,42487.6,42478.07,42487.59,7.6078,2024-01-01 01:25:59.999,323218.7424568,398,5.5528,235907.5893116,0
2024-01-01 01:26:00,42487.59,42508.5,42470.0,42508.49,22.08965,2024-01-01 01:26:59.999,938556.7454758,774,11.41874,485196.632429,0
2024-01-01 01:27:00,42508.49,42508.53,42508.49,42508.53,13.54787,2024-01-01 01:27:59.999,575899.6411647,399,7.44545,316494.9480405,0
2024-01-01 01:28:00,42508.53,42511.1,42504.44,42504.45,9.79352,2024-01-01 01:28:59.999,416328.8801394,497,5.97539,254018.9559328,0
2024-01-01 01:29:00,42504.45,42504.45,42493.16,42493.16,10.55756,2024-01-01 01:29:59.999,448702.6670604,482,3.70634,157516.9036586,0
2024-01-01 01:30:00,42493.16,42502.68,42493.16,42502.67,7.06172,2024-01-01 01:30:59.999,300107.6991396,400,6.11257,259769.3726707,0
2024-01-01 01:31:00,42502.68,42520.47,42502.67,42520.46,10.61104,2024-01-01 01:31:59.999,451064.2735961,613,9.35878,397832.4350625,0
2024-01-01 01:32:00,42520.46,42555.76,42520.46,42554.19,16.31082,2024-01-01 01:32:59.999,693798.0353893,1177,11.79353,501635.1854046,0
2024-01-01 01:33:00,42554.2,42565.22,42554.19,42565.22,9.65282,2024-01-01 01:33:59.999,410792.3148906,708,4.90678,208815.567828,0
2024-01-01 01:34:00,42565.21,42574.5,42565.21,42565.22,21.33831,2024-01-01 01:34:59.999,908406.2967137,754,10.9742,467172.4363582,0
2024-01-01 01:35:00,42565.22,42628.81,42565.21,42620.0,125.9525,2024-01-01 01:35:59.999,5366047.1853706,3587,82.12337,3498493.9661013,0
2024-01-01 01:36:00,42620.0,42689.11,42620.0,42672.19,65.41745,2024-01-01 01:36:59.999,2790452.3355324,4220,45.85696,1955981.5916693,0
2024-01-01 01:37:00,42672.2,42736.04,42672.19,42711.09,83.02428,2024-01-01 01:37:59.999,3545570.7252153,4235,52.05575,2222774.7852362,0
2024-01-01 01:38:00,42711.1,42775.0,42681.1,42766.06,116.61986,2024-01-01 01:38:59.999,4984485.3903782,4775,77.27547,3302612.2459451,0
2024-01-01 01:39:00,42766.06,42766.07,42715.18,42717.52,29.47748,2024-01-01 01:39:59.999,1259654.2704945,1211,13.85551,591983.2534092,0
2024-01-01 01:40:00,42717.53,42730.0,42699.32,42702.0,56.92523,2024-01-01 01:40:59.999,2431454.2691045,1617,37.22037,1589711.5297025,0
2024-01-01 01:41:00,42702.0,42751.73,42675.0,42729.58,53.69834,2024-01-01 01:41:59.999,2293736.1772333,1935,37.38355,1596576.6029213,0
2024-01-01 01:42:00,42729.58,42736.15,42713.49,42713.49,17.87324,2024-01-01 01:42:59.999,763696.6048559,774,8.42069,359797.2535676,0
2024-01-01 01:43:00,42713.49,42713.5,42699.74,42700.51,16.48515,2024-01-01 01:43:59.999,703987.0463239,789,11.26041,480847.8408584,0
2024-01-01 01:44:00,42700.52,42706.88,42697.5,42697.5,12.12483,2024-01-01 01:44:59.999,517750.8099904,630,7.73975,330499.4580277,0
2024-01-01 01:45:00,42697.5,42709.73,42695.49,42695.49,14.90271,2024-01-01 01:45:59.999,636401.7896142,669,8.88882,379583.1538065,0
2024-01-01 01:46:00,42695.5,42705.25,42695.49,42702.01,17.05172,2024-01-01 01:46:59.999,728131.1689141,489,11.23146,479586.5388834,0
2024-01-01 01:47:00,42702.0,42702.01,42668.93,42668.94,13.14842,2024-01-01 01:47:59.999,561197.6950254,587,0.86223,36796.9765356,0
2024-01-01 01:48:00,42668.92,42697.78,42653.06,42673.99,29.20138,2024-01-01 01:48:59.999,1246237.5080407,843,11.73285,500737.9701809,0
2024-01-01 01:49:00,42673.98,42720.0,42673.98,42698.01,39.12959,2024-01-01 01:49:59.999,1670791.1175255,1205,28.75582,1227782.0698153,0
2024-01-01 01:50:00,42698.01,42706.1,42682.0,42682.01,11.9065,2024-01-01 01:50:59.999,508344.0882558,605,5.98639,255582.2484785,0
2024-01-01 01:51:00,42682.0,42691.13,42673.98,42691.12,11.67231,2024-01-01 01:51:59.999,498203.1584239,648,8.72142,372257.9048394,0
2024-01-01 01:52:00,42691.13,42691.13,42676.41,42676.41,5.30055,2024-01-01 01:52:59.999,226261.0215386,394,0.7504,32034.0548907,0
2024-01-01 01:53:00,42676.42,42676.42,42660.0,42660.01,3.93587,2024-01-01 01:53:59.999,167932.2287627,349,0.7843,33463.0206461,0
2024-01-01 01:54:00,42660.01,42668.26,42660.0,42664.45,6.1861,2024-01-01 01:54:59.999,263928.5301985,474,3.7893,161662.4621486,0
2024-01-01 01:55:00,42664.46,42664.49,42644.54,42649.99,15.98011,2024-01-01 01:55:59.999,681652.070513,653,3.34717,142762.7842488,0
2024-01-01 01:56:00,42649.99,42658.52,42632.2,42639.44,12.68882,2024-01-01 01:56:59.999,541122.6968056,783,4.94079,210722.7695731,0
2024-01-01 01:57:00,42639.44,42639.44,42621.99,42626.35,13.95633,2024-01-01 01:57:59.999,594911.8350706,508,2.69125,114715.866032,0
2024-01-01 01:58:00,42626.35,42626.37,42626.34,42626.36,6.35816,2024-01-01 01:58:59.999,271025.1584582,416,5.37254,229011.7821643,0
2024-01-01 01:59:00,42626.36,42626.37,42613.56,42613.56,11.13902,2024-01-01 01:59:59.999,474754.2905633,512,3.02076,128735.9502946,0
2024-01-01 02:00:00,42613.57,42638.41,42603.94,42603.95,38.10882,2024-01-01 02:00:59.999,1624403.6272273,1075,15.54264,662438.2935177,0
2024-01-01 02:01:00,42603.95,42607.29,42597.78,42597.78,8.35713,2024-01-01 02:01:59.999,356032.3540729,657,2.47196,105313.4714961,0
2024-01-01 02:02:00,42597.79,42597.79,42591.18,42591.18,6.58622,2024-01-01 02:02:59.999,280546.1707092,541,2.24277,95531.0226401,0
2024-01-01 02:03:00,42591.18,42597.7,42582.87,42583.79,23.26532,2024-01-01 02:03:59.999,990889.9837013,799,5.94967,253374.4896687,0
2024-01-01 02:04:00,42583.79,42583.79,42558.82,42563.79,18.60762,2024-01-01 02:04:59.999,792048.6942433,1137,5.44475,231744.2276885,0
2024-01-01 02:05:00,42563.79,42573.76,42545.45,42573.76,13.13694,2024-01-01 02:05:59.999,559079.8663054,863,4.54326,193358.9360898,0
2024-01-01 02:06:00,42573.76,42576.21,42554.0,42559.54,22.53766,2024-01-01 02:06:59.999,959317.4798444,689,10.0338,427020.3246564,0
2024-01-01 02:07:00,42559.53,42571.1,42559.53,42561.11,9.15792,2024-01-01 02:07:59.999,389826.6571595,651,3.46338,147417.2628208,0
2024-01-01 02:08:00,42561.1,42569.76,42551.52,42566.48,12.26039,2024-01-01 02:08:59.999,521804.5826011,733,4.58227,195002.0545005,0
2024-01-01 02:09:00,42566.48,42566.49,42548.92,42548.93,17.60657,2024-01-01 02:09:59.999,749213.8308804,560,6.31937,268900.3683625,0
2024-01-01 02:10:00,42548.92,42552.0,42548.92,42548.93,7.64234,2024-01-01 02:10:59.999,325183.4127719,357,4.48822,190972.4323799,0
